------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:10:27 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
tcp.rst                                       | Total                     | 4
decoder.udp                                   | Total                     | 37
decoder.icmpv4                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 1004
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 6
flow.total                                    | Total                     | 30
flow.active                                   | Total                     | 30
flow.tcp                                      | Total                     | 13
flow.udp                                      | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 6
tcp.ssn_from_pool                             | Total                     | 6
tcp.segment_from_cache                        | Total                     | 32
tcp.segment_from_pool                         | Total                     | 24
tcp.overlap                                   | Total                     | 1
detect.alert                                  | Total                     | 3
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 6
app_layer.tx.dns_udp                          | Total                     | 23
app_layer.flow.failed_udp                     | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 26
flow.mgr.flows_notimeout                      | Total                     | 26
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 499712
http.memuse                                   | Total                     | 4824
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:10:59 (uptime: 0d, 00h 00m 40s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 15645
capture.afpacket.polls                        | Total                     | 11523
capture.afpacket.poll_timeout                 | Total                     | 1161
capture.afpacket.poll_data                    | Total                     | 10362
decoder.pkts                                  | Total                     | 15661
decoder.bytes                                 | Total                     | 15681729
decoder.ipv4                                  | Total                     | 15658
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 15661
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 15619
tcp.syn                                       | Total                     | 6
tcp.synack                                    | Total                     | 6
tcp.rst                                       | Total                     | 5
decoder.udp                                   | Total                     | 37
decoder.icmpv4                                | Total                     | 3
decoder.avg_pkt_size                          | Total                     | 1001
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 6
flow.total                                    | Total                     | 30
flow.active                                   | Total                     | 28
flow.tcp                                      | Total                     | 13
flow.udp                                      | Total                     | 17
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 6
tcp.ssn_from_pool                             | Total                     | 6
tcp.segment_from_cache                        | Total                     | 58
tcp.segment_from_pool                         | Total                     | 29
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 5
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 2
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 6
app_layer.tx.dns_udp                          | Total                     | 23
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9601
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 36
flow.mgr.flows_notimeout                      | Total                     | 34
flow.mgr.flows_timeout                        | Total                     | 2
flow.mgr.flows_evicted                        | Total                     | 2
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 2
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 505856
http.memuse                                   | Total                     | 447
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:11:07 (uptime: 0d, 00h 00m 48s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 15728
capture.afpacket.polls                        | Total                     | 11802
capture.afpacket.poll_timeout                 | Total                     | 1388
capture.afpacket.poll_data                    | Total                     | 10414
decoder.pkts                                  | Total                     | 15741
decoder.bytes                                 | Total                     | 15707807
decoder.ipv4                                  | Total                     | 15738
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 15741
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 15690
tcp.syn                                       | Total                     | 9
tcp.synack                                    | Total                     | 9
tcp.rst                                       | Total                     | 5
decoder.udp                                   | Total                     | 45
decoder.icmpv4                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 997
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 9
flow.total                                    | Total                     | 35
flow.active                                   | Total                     | 30
flow.tcp                                      | Total                     | 16
flow.udp                                      | Total                     | 19
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 9
tcp.ssn_from_pool                             | Total                     | 9
tcp.segment_from_cache                        | Total                     | 89
tcp.segment_from_pool                         | Total                     | 34
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 9
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 5
app_layer.flow.tls                            | Total                     | 7
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 8
app_layer.tx.dns_udp                          | Total                     | 31
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 5
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9604
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 41
flow.mgr.flows_notimeout                      | Total                     | 36
flow.mgr.flows_timeout                        | Total                     | 5
flow.mgr.flows_evicted                        | Total                     | 5
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 5
flow.recycler.queue_max                       | Total                     | 2
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 530432
http.memuse                                   | Total                     | 447
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:11:15 (uptime: 0d, 00h 00m 56s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 15792
capture.afpacket.polls                        | Total                     | 12182
capture.afpacket.poll_timeout                 | Total                     | 1734
capture.afpacket.poll_data                    | Total                     | 10448
decoder.pkts                                  | Total                     | 15790
decoder.bytes                                 | Total                     | 15718293
decoder.ipv4                                  | Total                     | 15787
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 15790
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 15736
tcp.syn                                       | Total                     | 10
tcp.synack                                    | Total                     | 10
tcp.rst                                       | Total                     | 5
decoder.udp                                   | Total                     | 48
decoder.icmpv4                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 995
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 10
flow.total                                    | Total                     | 37
flow.active                                   | Total                     | 28
flow.tcp                                      | Total                     | 17
flow.udp                                      | Total                     | 20
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 10
tcp.ssn_from_pool                             | Total                     | 10
tcp.segment_from_cache                        | Total                     | 104
tcp.segment_from_pool                         | Total                     | 40
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 15
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 8
app_layer.flow.tls                            | Total                     | 7
app_layer.flow.failed_tcp                     | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 9
app_layer.tx.dns_udp                          | Total                     | 33
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 9
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9608
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 48
flow.mgr.flows_notimeout                      | Total                     | 39
flow.mgr.flows_timeout                        | Total                     | 9
flow.mgr.flows_evicted                        | Total                     | 9
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 9
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 544768
http.memuse                                   | Total                     | 447
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:11:23 (uptime: 0d, 00h 01m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 15920
capture.afpacket.polls                        | Total                     | 12604
capture.afpacket.poll_timeout                 | Total                     | 2072
capture.afpacket.poll_data                    | Total                     | 10532
decoder.pkts                                  | Total                     | 15924
decoder.bytes                                 | Total                     | 15752127
decoder.ipv4                                  | Total                     | 15921
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 15924
decoder.arp                                   | Total                     | 2
decoder.tcp                                   | Total                     | 15860
tcp.syn                                       | Total                     | 14
tcp.synack                                    | Total                     | 14
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 56
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 989
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 14
flow.total                                    | Total                     | 42
flow.active                                   | Total                     | 31
flow.tcp                                      | Total                     | 21
flow.udp                                      | Total                     | 21
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 14
tcp.ssn_from_pool                             | Total                     | 14
tcp.segment_from_cache                        | Total                     | 150
tcp.segment_from_pool                         | Total                     | 51
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 23
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 11
app_layer.flow.tls                            | Total                     | 10
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 10
app_layer.tx.dns_udp                          | Total                     | 41
app_layer.flow.failed_udp                     | Total                     | 11
flow.end.state.new                            | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9610
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 58
flow.mgr.flows_notimeout                      | Total                     | 47
flow.mgr.flows_timeout                        | Total                     | 11
flow.mgr.flows_evicted                        | Total                     | 11
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 11
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 561152
http.memuse                                   | Total                     | 5271
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:11:31 (uptime: 0d, 00h 01m 12s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 15983
capture.afpacket.polls                        | Total                     | 12869
capture.afpacket.poll_timeout                 | Total                     | 2294
capture.afpacket.poll_data                    | Total                     | 10575
decoder.pkts                                  | Total                     | 16006
decoder.bytes                                 | Total                     | 15779928
decoder.ipv4                                  | Total                     | 15992
decoder.ipv6                                  | Total                     | 8
decoder.ethernet                              | Total                     | 16006
decoder.arp                                   | Total                     | 6
decoder.tcp                                   | Total                     | 15921
tcp.syn                                       | Total                     | 14
tcp.synack                                    | Total                     | 14
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 73
decoder.icmpv4                                | Total                     | 6
decoder.avg_pkt_size                          | Total                     | 985
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 14
flow.total                                    | Total                     | 51
flow.active                                   | Total                     | 40
flow.tcp                                      | Total                     | 21
flow.udp                                      | Total                     | 30
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 14
tcp.ssn_from_pool                             | Total                     | 14
tcp.segment_from_cache                        | Total                     | 168
tcp.segment_from_pool                         | Total                     | 62
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 27
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 14
app_layer.flow.tls                            | Total                     | 10
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 11
app_layer.tx.dns_udp                          | Total                     | 44
app_layer.flow.failed_udp                     | Total                     | 19
flow.end.state.new                            | Total                     | 11
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9611
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 68
flow.mgr.flows_notimeout                      | Total                     | 57
flow.mgr.flows_timeout                        | Total                     | 11
flow.mgr.flows_evicted                        | Total                     | 11
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 11
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 579584
http.memuse                                   | Total                     | 9648
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:11:39 (uptime: 0d, 00h 01m 20s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 16132
capture.afpacket.polls                        | Total                     | 13284
capture.afpacket.poll_timeout                 | Total                     | 2636
capture.afpacket.poll_data                    | Total                     | 10648
decoder.pkts                                  | Total                     | 16132
decoder.bytes                                 | Total                     | 15854907
decoder.ipv4                                  | Total                     | 16109
decoder.ipv6                                  | Total                     | 8
decoder.ethernet                              | Total                     | 16132
decoder.arp                                   | Total                     | 15
decoder.tcp                                   | Total                     | 16028
tcp.syn                                       | Total                     | 15
tcp.synack                                    | Total                     | 15
tcp.rst                                       | Total                     | 8
decoder.udp                                   | Total                     | 82
decoder.icmpv4                                | Total                     | 7
decoder.avg_pkt_size                          | Total                     | 982
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 15
flow.total                                    | Total                     | 54
flow.active                                   | Total                     | 39
flow.tcp                                      | Total                     | 22
flow.udp                                      | Total                     | 32
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 15
tcp.ssn_from_pool                             | Total                     | 15
tcp.segment_from_cache                        | Total                     | 223
tcp.segment_from_pool                         | Total                     | 66
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 29
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 14
app_layer.flow.tls                            | Total                     | 11
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 13
app_layer.tx.dns_udp                          | Total                     | 53
app_layer.flow.failed_udp                     | Total                     | 19
flow.end.state.new                            | Total                     | 15
flow.mgr.full_hash_pass                       | Total                     | 7
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9614
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 80
flow.mgr.flows_notimeout                      | Total                     | 65
flow.mgr.flows_timeout                        | Total                     | 15
flow.mgr.flows_evicted                        | Total                     | 15
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 15
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 587776
http.memuse                                   | Total                     | 9648
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:11:47 (uptime: 0d, 00h 01m 28s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 16208
capture.afpacket.polls                        | Total                     | 13669
capture.afpacket.poll_timeout                 | Total                     | 2984
capture.afpacket.poll_data                    | Total                     | 10685
decoder.pkts                                  | Total                     | 16208
decoder.bytes                                 | Total                     | 15881716
decoder.ipv4                                  | Total                     | 16183
decoder.ipv6                                  | Total                     | 8
decoder.ethernet                              | Total                     | 16208
decoder.arp                                   | Total                     | 17
decoder.tcp                                   | Total                     | 16098
tcp.syn                                       | Total                     | 16
tcp.synack                                    | Total                     | 16
tcp.rst                                       | Total                     | 8
decoder.udp                                   | Total                     | 85
decoder.icmpv4                                | Total                     | 8
decoder.avg_pkt_size                          | Total                     | 979
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 14
flow.total                                    | Total                     | 56
flow.active                                   | Total                     | 37
flow.tcp                                      | Total                     | 23
flow.udp                                      | Total                     | 33
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 2
flow.wrk.flows_evicted_pkt_inject             | Total                     | 2
flow.wrk.flows_injected                       | Total                     | 2
tcp.sessions                                  | Total                     | 16
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 15
tcp.segment_from_cache                        | Total                     | 250
tcp.segment_from_pool                         | Total                     | 70
tcp.overlap                                   | Total                     | 2
detect.alert                                  | Total                     | 29
detect.alerts_suppressed                      | Total                     | 5
app_layer.flow.http                           | Total                     | 2
app_layer.tx.http                             | Total                     | 14
app_layer.flow.tls                            | Total                     | 11
app_layer.flow.failed_tcp                     | Total                     | 3
app_layer.flow.dns_udp                        | Total                     | 14
app_layer.tx.dns_udp                          | Total                     | 56
app_layer.flow.failed_udp                     | Total                     | 19
flow.end.state.new                            | Total                     | 17
flow.end.state.closed                         | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9616
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 88
flow.mgr.flows_notimeout                      | Total                     | 69
flow.mgr.flows_timeout                        | Total                     | 19
flow.mgr.flows_evicted                        | Total                     | 19
flow.mgr.flows_evicted_needs_work             | Total                     | 2
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 17
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 579584
http.memuse                                   | Total                     | 9648
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:11:55 (uptime: 0d, 00h 01m 36s)
------------------------------------------------------------------------------------
